key,value
dimens,606
abs,697
color,235
themes,123
header,579
pom,101
keyboard,58
androidmanifest,1176
menu,970
spinner,228
other,8585
styles,715
fragment,3988
toolbar,259
arrays,206
button,110
list,2973
flags,22
dialog,1116
activity,6330
action,1915
strings,4171
view,3927
